Latitude,Longitude,Injury.Severity,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,State_Code,Year,Month,Day_Of_Week,Large_Jets,Small_Jets,Major_Injuries
401032N,1031311W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,CO,2013.0,2.0,Sunday,Other,Other,2.0
302351N,0973359W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,TX,2013.0,2.0,Sunday,Other,Other,0.0
425417N,1062731W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,WY,2013.0,2.0,Sunday,Other,Other,0.0
362429N,0851822W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TN,2013.0,2.0,Sunday,Other,Other,0.0
452527N,0891044W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,WI,2013.0,2.0,Sunday,Other,Other,1.0
062533N,1524422W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,AK,2013.0,2.0,Monday,Other,Other,0.0
342029N,0119325W,Non-Fatal,Bellanca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2013.0,2.0,Monday,Other,Other,0.0
271118N,0080383W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,2.0,FL,2013.0,2.0,Monday,Other,Other,1.0
302859N,0863134W,Non-Fatal,Textron,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,FL,2013.0,2.0,Monday,Other,Other,0.0
039255N,0084404W,Non-Fatal,Embraer,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,53.0,OH,2013.0,2.0,Tuesday,Other,Other,0.0
361947N,0077387W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,NC,2013.0,2.0,Wednesday,Other,Other,0.0
333146N,0822959W,Fatal,Textron,2.0,Turbo Fan,Executive/corporate,5.0,0.0,2.0,0.0,GA,2013.0,2.0,Thursday,Other,Other,5.0
461418N,0095156W,Fatal,Maule,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,MN,2013.0,2.0,Thursday,Other,Other,1.0
044346N,1225817W,Non-Fatal,Luscombe,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,OR,2013.0,2.0,Friday,Other,Other,0.0
027417N,0822625W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2013.0,2.0,Saturday,Other,Other,0.0
252447N,0801831W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,FL,2013.0,2.0,Sunday,Other,Other,4.0
281531N,0082249W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,FL,2013.0,2.0,Sunday,Other,Other,1.0
461648N,0093460W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,MN,2013.0,2.0,Sunday,Other,Other,0.0
034416N,0902052W,Non-Fatal,Embraer,2.0,Turbo Fan,Positioning,0.0,0.0,1.0,3.0,MS,2013.0,2.0,Sunday,Other,Other,0.0
322650N,0841533W,Non-Fatal,Bucker Jungmann,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,GA,2013.0,2.0,Sunday,Other,Other,0.0
032547N,0097231W,Non-Fatal,Boeing,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,3.0,TX,2013.0,2.0,Monday,Other,Other,0.0
353457N,0007965W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,NC,2013.0,2.0,Wednesday,Other,Other,0.0
322615N,1073726W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,NM,2013.0,2.0,Wednesday,Other,Other,1.0
003197N,0812328W,Non-Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,GA,2013.0,2.0,Thursday,Other,Other,0.0
464612N,0882912W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,MI,2013.0,3.0,Saturday,Other,Other,2.0
433453N,1163123W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,ID,2013.0,3.0,Saturday,Other,Other,0.0
362425N,1051728W,Fatal,Mooney,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,NM,2013.0,3.0,Sunday,Other,Other,4.0
413045N,1063413W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,WY,2013.0,3.0,Sunday,Other,Other,1.0
621428N,0153916W,Fatal,Textron,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,AK,2013.0,3.0,Monday,Other,Other,3.0
331825N,0084467W,Non-Fatal,Engineering & Research,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,GA,2013.0,3.0,Tuesday,Other,Other,0.0
623237N,0158550W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,AK,2013.0,3.0,Tuesday,Other,Other,0.0
375022N,0122012W,Non-Fatal,Bombardier,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,51.0,CA,2013.0,3.0,Tuesday,Other,Other,0.0
605756N,1612545W,Non-Fatal,Textron,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,AK,2013.0,3.0,Wednesday,Other,Other,0.0
385051N,0944415W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,KS,2013.0,3.0,Thursday,Other,Other,0.0
059194N,0158214W,Fatal,Textron,2.0,Turbo Prop,Unknown,2.0,0.0,0.0,0.0,AK,2013.0,3.0,Friday,Other,Other,2.0
333812N,0842540W,Non-Fatal,Boeing,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,148.0,GA,2013.0,3.0,Friday,Other,Other,0.0
625125N,0150427W,Non-Fatal,Textron,1.0,Reciprocating,Unknown,0.0,0.0,0.0,4.0,AK,2013.0,3.0,Friday,Other,Other,0.0
474340N,0122150W,Fatal,Maule,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,WA,2013.0,3.0,Saturday,Other,Other,1.0
371958N,1214811W,Non-Fatal,Evektor-Aerotechnik As,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,CA,2013.0,3.0,Sunday,Other,Other,1.0
354341N,1182511W,Non-Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,0.0,1.0,0.0,2.0,CA,2013.0,3.0,Monday,Other,Other,1.0
354022N,1203737W,Non-Fatal,Waco,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,CA,2013.0,3.0,Monday,Other,Other,1.0
362220N,0094625W,Non-Fatal,Piper,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,AR,2013.0,3.0,Monday,Other,Other,0.0
393154N,0842347W,Non-Fatal,Mooney,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,OH,2013.0,3.0,Tuesday,Other,Other,1.0
385953N,0119459W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,NV,2013.0,3.0,Tuesday,Other,Other,1.0
365919N,0120645W,Non-Fatal,Luscombe,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2013.0,3.0,Wednesday,Other,Other,0.0
061450N,0151938W,Non-Fatal,Piper,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AK,2013.0,3.0,Thursday,Other,Other,0.0
395432N,0010572W,Non-Fatal,Ryan,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,CO,2013.0,3.0,Friday,Other,Other,0.0
363212N,0865516W,Non-Fatal,Mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,TN,2013.0,3.0,Saturday,Other,Other,0.0
262432N,0813213W,Non-Fatal,Mcnulty John S,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,FL,2013.0,3.0,Saturday,Other,Other,0.0
284922N,0814831W,Non-Fatal,Mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2013.0,3.0,Saturday,Other,Other,0.0
044570N,0009441W,Non-Fatal,Piper,2.0,Reciprocating,Business,0.0,0.0,0.0,6.0,MN,2013.0,3.0,Saturday,Other,Other,0.0
374921N,1213755W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2013.0,3.0,Saturday,Other,Other,0.0
325722N,1124015W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,AZ,2013.0,3.0,Sunday,Other,Other,1.0
294333N,0945918W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,TX,2013.0,3.0,Sunday,Other,Other,1.0
382212N,0772548W,Non-Fatal,New Piper Aircraft Inc,1.0,Reciprocating,Business,0.0,0.0,2.0,0.0,VA,2013.0,3.0,Sunday,Other,Other,0.0
414145N,0861746W,Fatal,Textron,2.0,Turbo Fan,Business,2.0,0.0,2.0,0.0,IN,2013.0,3.0,Sunday,Other,Other,2.0
061280N,0150240W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AK,2013.0,3.0,Sunday,Other,Other,0.0
423934N,0083258W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,MI,2013.0,3.0,Sunday,Other,Other,0.0
332723N,1114325W,Non-Fatal,Boeing,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,AZ,2013.0,3.0,Tuesday,Other,Other,0.0
030318N,0083396W,Non-Fatal,Piper,2.0,Reciprocating,Executive/corporate,0.0,1.0,0.0,0.0,FL,2013.0,3.0,Thursday,Other,Other,1.0
355125N,0102046W,Non-Fatal,Aviat,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TX,2013.0,3.0,Thursday,Other,Other,0.0
374136N,1214913W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,CA,2013.0,3.0,Thursday,Other,Other,0.0
333427N,0117743W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,CA,2013.0,3.0,Friday,Other,Other,1.0
412653N,0903027W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IL,2013.0,3.0,Saturday,Other,Other,0.0
283713N,0080504W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2013.0,3.0,Sunday,Other,Other,0.0
611016N,1495932W,Non-Fatal,Dehavilland,1.0,Reciprocating,Unknown,0.0,0.0,0.0,4.0,AK,2013.0,3.0,Tuesday,Other,Other,0.0
035449N,1014523W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TX,2013.0,3.0,Wednesday,Other,Other,0.0
341122N,1014316W,Non-Fatal,Bellanca,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,TX,2013.0,3.0,Wednesday,Other,Other,1.0
343620N,1132928W,Fatal,Mooney,1.0,Reciprocating,Personal,1.0,0.0,2.0,0.0,AZ,2013.0,3.0,Thursday,Other,Other,1.0
045537N,0952549W,Non-Fatal,Cirrus,1.0,Reciprocating,Personal,0.0,2.0,0.0,2.0,MN,2013.0,3.0,Friday,Other,Other,2.0
464846N,0096177W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,MN,2013.0,3.0,Friday,Other,Other,1.0
029594N,0952029W,None,Embraer,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,0.0,TX,2013.0,3.0,Friday,Other,Other,0.0
033183N,1043130W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,NM,2013.0,3.0,Friday,Other,Other,0.0
333222N,0116920W,Non-Fatal,Waco,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2013.0,3.0,Saturday,Other,Other,0.0
413355N,0812911W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,OH,2013.0,3.0,Saturday,Other,Other,0.0
044234N,0012456W,Non-Fatal,Vans,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,OR,2013.0,3.0,Saturday,Other,Other,0.0
402332N,0753331W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,PA,2013.0,3.0,Saturday,Other,Other,0.0
029429N,0081228W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2013.0,3.0,Saturday,Other,Other,0.0
003670N,0801710W,Fatal,Lancair,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,NC,2013.0,3.0,Sunday,Other,Other,2.0
039189N,1044530W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,CO,2013.0,3.0,Sunday,Other,Other,1.0
454327N,1223228W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,WA,2013.0,4.0,Monday,Other,Other,0.0
434012N,0901357W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,WI,2013.0,4.0,Monday,Other,Other,0.0
364350N,1013619W,Fatal,Mooney,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,OK,2013.0,4.0,Monday,Other,Other,2.0
