Investigation.Type,Accident.Number,Event.Date,Location,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Day_Of_Week,State_Code,new_lats,new_longs,Year,Month,Large_Jets,Small_Jets,Major_Injuries
Accident,WPR16LA146,2016-07-17,"Emmett, ID",435025N,0116305W,,,Non-Fatal,Substantial,Textron,172,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Sunday,ID,43.84027777777778,-12.051388888888889,2016.0,7.0,Other,Textron,0.0
Accident,GAA16CA384,2016-07-17,"St. James, MO",375950N,0913651W,,,Non-Fatal,Substantial,Boeing,A75,No,1.0,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,1.0,VMC,Sunday,MO,37.99722222222222,-91.61416666666666,2016.0,7.0,Boeing,Other,1.0
Accident,WPR16FA144,2016-07-18,"Logan, UT",413551N,1115052W,,,Fatal,Destroyed,Diamond,DA40 F,No,1.0,Reciprocating,091,Personal,UTAH STATE UNIVERSITY,1.0,0.0,0.0,0.0,VMC,Monday,UT,41.597500000000004,-111.84777777777778,2016.0,7.0,Other,Other,1.0
Accident,WPR16CA145,2016-07-18,"Helena, MT",463625N,1115858W,HLN,Helena,Non-Fatal,Substantial,Textron,19A,No,1.0,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,0.0,VMC,Monday,MT,46.606944444444444,-111.98277777777778,2016.0,7.0,Other,Textron,1.0
Accident,ANC16LA048,2016-07-18,"Haines, AK",591438N,1353125W,HNS,HAINES,Non-Fatal,Substantial,Stinson,108,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,4.0,VMC,Monday,AK,59.24388888888889,-135.52361111111114,2016.0,7.0,Other,Other,0.0
Accident,GAA16CA383,2016-07-18,"Lenoir, NC",355647N,0812919W,NC27,LOWER CREEK,Non-Fatal,Substantial,Aeronca,7AC,No,1.0,Reciprocating,091,Personal,LENOIR AVIATION CLUB INC.,0.0,0.0,0.0,1.0,IMC,Monday,NC,35.94638888888888,-81.48861111111111,2016.0,7.0,Other,Other,0.0
Accident,CEN16FA269,2016-07-19,"Ishpeming, MI",462440N,0087467W,,Private Airstrip,Fatal,Substantial,Aeronca,11AC,No,1.0,Reciprocating,091,Personal,Unknown,2.0,0.0,0.0,0.0,VMC,Tuesday,MI,46.41111111111111,-9.251944444444446,2016.0,7.0,Other,Other,2.0
Accident,CEN16LA270,2016-07-19,"Weatherford, TX",324338N,0974056W,WEA,PARKER COUNTY,Non-Fatal,Substantial,Textron,182J,No,1.0,Reciprocating,091,Personal,Unknown,0.0,2.0,1.0,0.0,VMC,Tuesday,TX,32.727222222222224,-97.68222222222222,2016.0,7.0,Other,Textron,2.0
Accident,ERA16LA263,2016-07-19,"Warrenton, VA",383756N,0775238W,HWY,Warrenton-Fauquier,Non-Fatal,Substantial,Tecnam,P2008,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Tuesday,VA,38.632222222222225,-77.87722222222222,2016.0,7.0,Other,Other,0.0
Accident,CEN16LA274,2016-07-19,"East Troy, WI",424749N,0882228W,57C,EAST TROY MUNI,Non-Fatal,Substantial,Chance Vought,F4U 5,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Tuesday,WI,42.79694444444444,-88.37444444444444,2016.0,7.0,Other,Other,0.0
Accident,ANC16LA046,2016-07-19,"Illiamna, AK",595645N,1562134W,,,Non-Fatal,Substantial,Textron,A185,No,1.0,Reciprocating,091,Business,Unknown,0.0,0.0,0.0,4.0,VMC,Tuesday,AK,59.94583333333333,-156.35944444444445,2016.0,7.0,Other,Textron,0.0
Accident,ANC16LA047,2016-07-19,"McCarthy, AK",612543N,1425530W,15Z,MCCARTHY,Non-Fatal,Substantial,Aeropro,A220,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Tuesday,AK,61.42861111111111,-142.92499999999998,2016.0,7.0,Other,Other,0.0
Accident,CEN16LA275,2016-07-20,"Huron, SD",442237N,0981150W,,,Non-Fatal,Substantial,Meyers,200,No,Unknown,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,1.0,VMC,Wednesday,SD,44.37694444444445,-98.19722222222222,2016.0,7.0,Other,Other,1.0
Accident,ERA16CA264,2016-07-20,"Connellsville, PA",395733N,0793927W,VVS,JOSEPH A HARDY CONNELLSVILLE,Non-Fatal,Substantial,Aeronca,7BCM,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,1.0,0.0,VMC,Wednesday,PA,39.95916666666667,-79.6575,2016.0,7.0,Other,Other,0.0
Accident,ANC16CA049,2016-07-20,"Cordova, AK",602018N,1461529W,,,Non-Fatal,Substantial,Textron,U206,No,1.0,Reciprocating,091,Personal,Alaska Gulf Coast Adventures,0.0,0.0,0.0,5.0,VMC,Wednesday,AK,60.33833333333334,-146.25805555555556,2016.0,7.0,Other,Textron,0.0
Accident,ERA16CA302,2016-07-20,"Burnsville, NC",035520N,0822021W,2NC0,Mountain Air Airport,Non-Fatal,Substantial,Textron,B200,No,2.0,Turbo Prop,091,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Wednesday,NC,3.922222222222222,-82.33916666666666,2016.0,7.0,Other,Textron,0.0
Accident,CEN16FA276,2016-07-21,"Plainfield, IL",413318N,0881227W,,,Fatal,Destroyed,Piper,PA 30,No,2.0,Reciprocating,091,Personal,Unknown,1.0,0.0,0.0,0.0,VMC,Thursday,IL,41.555,-88.2075,2016.0,7.0,Other,Other,1.0
Accident,ERA16LA266,2016-07-22,"Winter Haven, FL",028344N,0814514W,GIF,WINTER HAVEN'S GILBERT,Fatal,Substantial,Republic,RC 3,No,1.0,Reciprocating,091,Personal,Unknown,1.0,0.0,1.0,0.0,VMC,Friday,FL,3.3955555555555557,-81.7538888888889,2016.0,7.0,Other,Other,1.0
Accident,GAA16CA387,2016-07-22,"Hogansville, GA",033950N,0084513W,,,Non-Fatal,Substantial,Textron,182,No,1.0,Reciprocating,091,Personal,Unknown,0.0,2.0,0.0,0.0,VMC,Friday,GA,3.6638888888888888,-8.75361111111111,2016.0,7.0,Other,Textron,2.0
Accident,GAA16CA390,2016-07-22,"Claremore, OK",361720N,0952842W,GCM,CLAREMORE RGNL,Non-Fatal,Substantial,Piper,PA46,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,4.0,VMC,Friday,OK,36.288888888888884,-95.47833333333334,2016.0,7.0,Other,Other,0.0
Accident,CEN16LA287,2016-07-22,"Dodge Center, MN",004414N,0924953W,TOB,Dodge Center Airport,Non-Fatal,Substantial,Stinson,108,No,1.0,Reciprocating,091,Personal,Unknown,0.0,2.0,0.0,1.0,VMC,Friday,MN,0.7372222222222222,-92.83138888888888,2016.0,7.0,Other,Other,2.0
Accident,ERA16LA271,2016-07-23,"Linden, NJ",040373N,0741440W,LDJ,LINDEN,Non-Fatal,Substantial,Textron,310L,No,2.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Saturday,NJ,4.070277777777777,-74.24444444444444,2016.0,7.0,Other,Textron,0.0
Accident,GAA16CA395,2016-07-23,"Collinsville, OK",362114N,0954812W,OK94,SANDRIDGE AIRPARK INC,Non-Fatal,Substantial,Engineering & Research,415,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Saturday,OK,36.35388888888889,-95.80333333333333,2016.0,7.0,Other,Other,0.0
